instruction,input,response
"Given the dataset delimited by the triple backticks, forecast number of days client 0187-ERLSR will take for the payment of an invoice dated 2013-11-11 with an amount 83.18 to be settled. Return the answer in JSON format, containing four keys: 'customerID', 'InvoiceDate', 'InvoiceAmount' and 'DaysToSettle'. Return only the forecast, not the Python code.","```
customerID InvoiceDate  InvoiceAmount  DaysToSettle
0187-ERLSR  2012-03-29          62.68            27
0187-ERLSR  2012-05-15          77.19            13
0187-ERLSR  2012-05-21          51.65            14
0187-ERLSR  2012-06-16          64.47            18
0187-ERLSR  2012-09-05          84.57             9
0187-ERLSR  2012-09-22          65.26            19
0187-ERLSR  2012-12-06          59.00            13
0187-ERLSR  2013-02-16          56.50            14
0187-ERLSR  2013-03-04          31.72             7
0187-ERLSR  2013-03-16          73.27            19
0187-ERLSR  2013-03-22          86.92             5
0187-ERLSR  2013-05-07          79.87             8
0187-ERLSR  2013-05-25          53.59             8
0187-ERLSR  2013-10-17          77.19             3
```","{'customerID': '0187-ERLSR', 'InvoiceDate': '2013-11-11', 'InvoiceAmount': 83.18, 'DaysToSettle': 13}"
"Given the dataset delimited by the triple backticks, forecast number of days client 0379-NEVHP will take for the payment of an invoice dated 2013-10-04 with an amount 64.72 to be settled. Return the answer in JSON format, containing four keys: 'customerID', 'InvoiceDate', 'InvoiceAmount' and 'DaysToSettle'. Return only the forecast, not the Python code.","```
customerID InvoiceDate  InvoiceAmount  DaysToSettle
0379-NEVHP  2012-02-12          28.21            16
0379-NEVHP  2012-03-01          48.65            47
0379-NEVHP  2012-03-20         103.64            19
0379-NEVHP  2012-07-01          42.25            16
0379-NEVHP  2012-09-01          69.55            22
0379-NEVHP  2012-09-10          72.97            18
0379-NEVHP  2012-10-24          50.70            13
0379-NEVHP  2012-10-28          76.81            22
0379-NEVHP  2012-12-03          52.47            16
0379-NEVHP  2013-01-02          55.94            13
0379-NEVHP  2013-01-05          61.11            21
0379-NEVHP  2013-01-09          34.41            18
0379-NEVHP  2013-01-25          33.23            17
0379-NEVHP  2013-02-14          55.21            17
0379-NEVHP  2013-02-17          79.25            22
0379-NEVHP  2013-04-03          74.34            16
0379-NEVHP  2013-05-17          78.57            26
0379-NEVHP  2013-05-29          68.49             8
0379-NEVHP  2013-06-05          57.04            14
0379-NEVHP  2013-06-24          61.66            17
0379-NEVHP  2013-07-12          30.90            13
0379-NEVHP  2013-08-05          43.64            16
0379-NEVHP  2013-08-11          47.08            10
0379-NEVHP  2013-08-16          70.90            15
0379-NEVHP  2013-09-07          62.88             6
```","{'customerID': '0379-NEVHP', 'InvoiceDate': '2013-10-04', 'InvoiceAmount': 64.72, 'DaysToSettle': 22}"
"Given the dataset delimited by the triple backticks, forecast number of days client 0465-DTULQ will take for the payment of an invoice dated 2013-11-13 with an amount 58.22 to be settled. Return the answer in JSON format, containing four keys: 'customerID', 'InvoiceDate', 'InvoiceAmount' and 'DaysToSettle'. Return only the forecast, not the Python code.","```
customerID InvoiceDate  InvoiceAmount  DaysToSettle
0465-DTULQ  2012-01-04          55.91            31
0465-DTULQ  2012-01-09          40.22            35
0465-DTULQ  2012-01-30          59.34            51
0465-DTULQ  2012-04-10          60.35            23
0465-DTULQ  2012-04-28          43.62            45
0465-DTULQ  2012-05-27          43.09            24
0465-DTULQ  2012-06-16          39.87            48
0465-DTULQ  2012-08-01          61.00            35
0465-DTULQ  2012-08-29          70.67            30
0465-DTULQ  2012-08-30          28.95            45
0465-DTULQ  2012-09-03          43.41            50
0465-DTULQ  2012-09-14          32.86            33
0465-DTULQ  2012-10-03          49.85            35
0465-DTULQ  2012-11-16          76.21            34
0465-DTULQ  2012-12-18          22.53            40
0465-DTULQ  2012-12-28          58.71            28
0465-DTULQ  2013-01-11          52.14            40
0465-DTULQ  2013-01-18          64.48            36
0465-DTULQ  2013-03-01          68.35            30
0465-DTULQ  2013-04-02          63.00            26
0465-DTULQ  2013-04-23          27.00            26
0465-DTULQ  2013-07-20          38.55            26
0465-DTULQ  2013-07-29          83.36            28
0465-DTULQ  2013-10-20          46.07            21
```","{'customerID': '0465-DTULQ', 'InvoiceDate': '2013-11-13', 'InvoiceAmount': 58.22, 'DaysToSettle': 29}"
"Given the dataset delimited by the triple backticks, forecast number of days client 0625-TNJFG will take for the payment of an invoice dated 2013-11-11 with an amount 83.68 to be settled. Return the answer in JSON format, containing four keys: 'customerID', 'InvoiceDate', 'InvoiceAmount' and 'DaysToSettle'. Return only the forecast, not the Python code.","```
customerID InvoiceDate  InvoiceAmount  DaysToSettle
0625-TNJFG  2012-02-24          62.39            30
0625-TNJFG  2012-03-06          41.89            22
0625-TNJFG  2012-03-20          27.08            22
0625-TNJFG  2012-06-19          48.08            16
0625-TNJFG  2012-08-01          64.44            30
0625-TNJFG  2012-08-24          42.18            20
0625-TNJFG  2012-08-24          46.20            24
0625-TNJFG  2012-08-31          55.80            23
0625-TNJFG  2012-09-08          53.87            24
0625-TNJFG  2012-09-10          70.60            32
0625-TNJFG  2012-09-30          74.49            24
0625-TNJFG  2012-09-30          39.69            31
0625-TNJFG  2012-10-31          37.90            15
0625-TNJFG  2012-11-19          62.84            24
0625-TNJFG  2013-01-24          65.75            23
0625-TNJFG  2013-02-22          57.64            34
0625-TNJFG  2013-05-10          36.86            29
0625-TNJFG  2013-05-11          53.01            25
0625-TNJFG  2013-06-02          67.86            26
0625-TNJFG  2013-07-05          69.85            32
0625-TNJFG  2013-07-07          68.03            25
0625-TNJFG  2013-07-13          81.63            22
0625-TNJFG  2013-08-25          50.17            17
0625-TNJFG  2013-09-07          64.16            41
0625-TNJFG  2013-09-08          64.29            14
0625-TNJFG  2013-11-05          44.40            27
```","{'customerID': '0625-TNJFG', 'InvoiceDate': '2013-11-11', 'InvoiceAmount': 83.68, 'DaysToSettle': 20}"
"Given the dataset delimited by the triple backticks, forecast number of days client 0688-XNJRO will take for the payment of an invoice dated 2013-11-15 with an amount 56.04 to be settled. Return the answer in JSON format, containing four keys: 'customerID', 'InvoiceDate', 'InvoiceAmount' and 'DaysToSettle'. Return only the forecast, not the Python code.","```
customerID InvoiceDate  InvoiceAmount  DaysToSettle
0688-XNJRO  2012-01-12          64.19            43
0688-XNJRO  2012-01-18          18.03            64
0688-XNJRO  2012-02-08          68.28            46
0688-XNJRO  2012-02-11          27.22            33
0688-XNJRO  2012-04-15          35.30            49
0688-XNJRO  2012-04-21          49.62            48
0688-XNJRO  2012-06-07          45.79            51
0688-XNJRO  2012-07-05          24.42            41
0688-XNJRO  2012-07-16           9.19            57
0688-XNJRO  2012-09-03          28.51            40
0688-XNJRO  2012-09-30          46.40            45
0688-XNJRO  2012-11-14          23.05            41
0688-XNJRO  2012-11-16          39.39            48
0688-XNJRO  2012-12-10          30.98            38
0688-XNJRO  2012-12-13          36.09            48
0688-XNJRO  2012-12-14          40.86            31
0688-XNJRO  2012-12-31          44.81            47
0688-XNJRO  2013-02-19          25.38            30
0688-XNJRO  2013-03-26          55.16            62
0688-XNJRO  2013-04-12          34.75            53
0688-XNJRO  2013-05-02          41.31            45
0688-XNJRO  2013-06-02          41.56            37
0688-XNJRO  2013-06-05          43.07            59
0688-XNJRO  2013-06-15           9.52            38
0688-XNJRO  2013-07-16          25.79            38
0688-XNJRO  2013-08-10          40.58            39
0688-XNJRO  2013-08-14          49.04            38
0688-XNJRO  2013-08-22          36.60            35
0688-XNJRO  2013-09-01          33.99            50
0688-XNJRO  2013-09-06          25.07            28
0688-XNJRO  2013-09-08          22.90            48
0688-XNJRO  2013-09-15          33.37            43
```","{'customerID': '0688-XNJRO', 'InvoiceDate': '2013-11-15', 'InvoiceAmount': 56.04, 'DaysToSettle': 51}"
"Given the dataset delimited by the triple backticks, forecast number of days client 0706-NRGUP will take for the payment of an invoice dated 2013-10-05 with an amount 35.7 to be settled. Return the answer in JSON format, containing four keys: 'customerID', 'InvoiceDate', 'InvoiceAmount' and 'DaysToSettle'. Return only the forecast, not the Python code.","```
customerID InvoiceDate  InvoiceAmount  DaysToSettle
0706-NRGUP  2012-03-13          16.62            41
0706-NRGUP  2012-04-16          41.44            36
0706-NRGUP  2012-04-18          39.25            32
0706-NRGUP  2012-05-22          35.02            37
0706-NRGUP  2012-06-19          16.78            34
0706-NRGUP  2012-07-23          29.62            39
0706-NRGUP  2012-08-03          23.38            31
0706-NRGUP  2012-09-28          21.00            26
0706-NRGUP  2012-11-14          20.61            25
0706-NRGUP  2012-11-24          39.62            47
0706-NRGUP  2012-12-05          25.78            25
0706-NRGUP  2013-02-07          26.49            37
0706-NRGUP  2013-08-27          57.20            35
0706-NRGUP  2013-09-04          10.03            30
0706-NRGUP  2013-09-15          23.81            21
0706-NRGUP  2013-10-03          44.36            25
```","{'customerID': '0706-NRGUP', 'InvoiceDate': '2013-10-05', 'InvoiceAmount': 35.7, 'DaysToSettle': 21}"
"Given the dataset delimited by the triple backticks, forecast number of days client 0709-LZRJV will take for the payment of an invoice dated 2013-11-24 with an amount 56.29 to be settled. Return the answer in JSON format, containing four keys: 'customerID', 'InvoiceDate', 'InvoiceAmount' and 'DaysToSettle'. Return only the forecast, not the Python code.","```
customerID InvoiceDate  InvoiceAmount  DaysToSettle
0709-LZRJV  2012-02-19          62.85            35
0709-LZRJV  2012-02-28          40.49            20
0709-LZRJV  2012-03-12          67.83            31
0709-LZRJV  2012-07-07          10.92            40
0709-LZRJV  2012-07-13          26.98            42
0709-LZRJV  2012-09-03          42.67            36
0709-LZRJV  2012-09-27          61.07            26
0709-LZRJV  2012-10-30          70.82            30
0709-LZRJV  2012-12-01          38.41            46
0709-LZRJV  2013-03-06          30.89            54
0709-LZRJV  2013-03-14          68.16            25
0709-LZRJV  2013-04-17          63.91            35
0709-LZRJV  2013-04-23          19.53            28
0709-LZRJV  2013-06-11          51.45            41
0709-LZRJV  2013-06-21          36.09            21
0709-LZRJV  2013-07-01          50.28            17
0709-LZRJV  2013-07-02          44.71            22
0709-LZRJV  2013-07-21          81.77            39
0709-LZRJV  2013-07-23          61.89            18
0709-LZRJV  2013-07-27          58.68            19
0709-LZRJV  2013-08-09          66.55            33
0709-LZRJV  2013-08-27          62.73            23
0709-LZRJV  2013-10-15          61.29            22
```","{'customerID': '0709-LZRJV', 'InvoiceDate': '2013-11-24', 'InvoiceAmount': 56.29, 'DaysToSettle': 30}"
"Given the dataset delimited by the triple backticks, forecast number of days client 0783-PEPYR will take for the payment of an invoice dated 2013-09-30 with an amount 43.67 to be settled. Return the answer in JSON format, containing four keys: 'customerID', 'InvoiceDate', 'InvoiceAmount' and 'DaysToSettle'. Return only the forecast, not the Python code.","```
customerID InvoiceDate  InvoiceAmount  DaysToSettle
0783-PEPYR  2012-01-08          63.92            43
0783-PEPYR  2012-02-22         107.11            38
0783-PEPYR  2012-03-10          75.62            33
0783-PEPYR  2012-03-17          64.33            34
0783-PEPYR  2012-04-29          50.55            43
0783-PEPYR  2012-05-15          81.10            34
0783-PEPYR  2012-08-02          84.75            42
0783-PEPYR  2012-09-02          57.26            37
0783-PEPYR  2012-09-30          87.36            49
0783-PEPYR  2012-11-02          62.27            32
0783-PEPYR  2012-12-31          66.56            34
0783-PEPYR  2013-02-17          59.36            41
0783-PEPYR  2013-04-22          33.11            51
0783-PEPYR  2013-05-07          61.13            47
0783-PEPYR  2013-05-27         104.52            41
0783-PEPYR  2013-07-05          49.56            42
0783-PEPYR  2013-08-22          50.69            44
0783-PEPYR  2013-09-17          72.87            57
0783-PEPYR  2013-09-18          58.58            31
```","{'customerID': '0783-PEPYR', 'InvoiceDate': '2013-09-30', 'InvoiceAmount': 43.67, 'DaysToSettle': 41}"
"Given the dataset delimited by the triple backticks, forecast number of days client 1080-NDGAE will take for the payment of an invoice dated 2013-11-13 with an amount 101.93 to be settled. Return the answer in JSON format, containing four keys: 'customerID', 'InvoiceDate', 'InvoiceAmount' and 'DaysToSettle'. Return only the forecast, not the Python code.","```
customerID InvoiceDate  InvoiceAmount  DaysToSettle
1080-NDGAE  2012-01-05          78.29            39
1080-NDGAE  2012-01-11          73.06            26
1080-NDGAE  2012-02-19          93.48            36
1080-NDGAE  2012-03-01          56.54            23
1080-NDGAE  2012-03-10          85.82            35
1080-NDGAE  2012-03-14          95.82            17
1080-NDGAE  2012-04-27          96.60            25
1080-NDGAE  2012-05-27          92.25            33
1080-NDGAE  2012-07-04          77.47            32
1080-NDGAE  2012-07-09         128.28            45
1080-NDGAE  2012-07-15          61.48            29
1080-NDGAE  2012-09-06          92.53            37
1080-NDGAE  2012-09-17          94.16            31
1080-NDGAE  2012-10-18          73.57            30
1080-NDGAE  2012-11-17          64.09            18
1080-NDGAE  2013-01-15         100.00            29
1080-NDGAE  2013-01-25          79.79            36
1080-NDGAE  2013-02-20         107.94            29
1080-NDGAE  2013-02-22          93.39            41
1080-NDGAE  2013-02-24          74.62            41
1080-NDGAE  2013-03-02          54.56            19
1080-NDGAE  2013-05-10          74.50            36
1080-NDGAE  2013-06-29          89.97            33
1080-NDGAE  2013-07-10          83.49            26
1080-NDGAE  2013-08-05          92.16            34
1080-NDGAE  2013-08-30          82.60            34
1080-NDGAE  2013-09-12          94.57            32
1080-NDGAE  2013-10-11          76.07            12
1080-NDGAE  2013-10-22          94.19            22
```","{'customerID': '1080-NDGAE', 'InvoiceDate': '2013-11-13', 'InvoiceAmount': 101.93, 'DaysToSettle': 33}"
"Given the dataset delimited by the triple backticks, forecast number of days client 1168-BEASA will take for the payment of an invoice dated 2013-08-18 with an amount 58.68 to be settled. Return the answer in JSON format, containing four keys: 'customerID', 'InvoiceDate', 'InvoiceAmount' and 'DaysToSettle'. Return only the forecast, not the Python code.","```
customerID InvoiceDate  InvoiceAmount  DaysToSettle
1168-BEASA  2012-02-29          24.63            21
1168-BEASA  2012-04-08          45.14            17
1168-BEASA  2012-08-02          57.17            24
1168-BEASA  2012-09-05          61.46            28
1168-BEASA  2012-09-06          43.17            19
1168-BEASA  2012-11-16          84.22            42
1168-BEASA  2012-11-25          65.50            23
1168-BEASA  2012-11-29          63.76            28
1168-BEASA  2012-12-12          47.08            11
1168-BEASA  2012-12-30          59.86            26
1168-BEASA  2013-01-13          39.18            19
1168-BEASA  2013-02-03          20.65            18
1168-BEASA  2013-04-04          40.48            23
1168-BEASA  2013-04-14          57.00            20
1168-BEASA  2013-04-21          51.65            22
1168-BEASA  2013-04-22          52.07            23
1168-BEASA  2013-05-01          49.96            45
1168-BEASA  2013-06-11          82.63            22
1168-BEASA  2013-06-12          26.80            21
1168-BEASA  2013-07-06          49.75            18
1168-BEASA  2013-08-16          52.41            26
```","{'customerID': '1168-BEASA', 'InvoiceDate': '2013-08-18', 'InvoiceAmount': 58.68, 'DaysToSettle': 25}"
